dataset,group,time,peer,round,accuracy,loss
cifar10,DL,10.427006,0,1,12.560000,2.334894
cifar10,DL,10.427006,0,1,13.380000,2.275719
cifar10,DL,10.427006,0,1,12.210000,2.252217
cifar10,DL,10.427006,0,1,11.480000,2.389939
cifar10,DL,10.427006,0,1,11.170000,2.274361
cifar10,DL,10.427006,0,1,10.220000,2.285003
cifar10,DL,10.427006,0,1,15.880000,2.276534
cifar10,DL,10.427006,0,1,16.100000,2.336184
cifar10,DL,10.427006,0,1,15.790000,2.328208
cifar10,DL,10.427006,0,1,12.250000,2.278729
cifar10,DL,10.427006,0,1,10.640000,2.364751
cifar10,DL,10.427006,0,1,17.670000,2.304644
cifar10,DL,10.427006,0,1,17.260000,2.246919
cifar10,DL,10.427006,0,1,17.660000,2.223492
cifar10,DL,10.427006,0,1,10.880000,2.344611
cifar10,DL,10.427006,0,1,13.640000,2.287022
cifar10,DL,10.427006,0,1,13.050000,2.278964
cifar10,DL,10.427006,0,1,12.380000,2.302400
cifar10,DL,10.427006,0,1,16.760000,2.266476
cifar10,DL,10.427006,0,1,16.350000,2.338089
cifar10,DL,10.427006,0,1,13.940000,2.332644
cifar10,DL,10.427006,0,1,12.830000,2.286003
cifar10,DL,10.427006,0,1,12.000000,2.271976
cifar10,DL,10.427006,0,1,15.630000,2.277851
cifar10,DL,10.427006,0,1,14.260000,2.339344
cifar10,DL,10.427006,0,1,14.940000,2.236331
cifar10,DL,10.427006,0,1,10.290000,2.362595
cifar10,DL,10.427006,0,1,14.660000,2.263716
cifar10,DL,10.427006,0,1,11.680000,2.279782
cifar10,DL,10.427006,0,1,16.080000,2.296549
cifar10,DL,10.427006,0,1,16.160000,2.311839
cifar10,DL,10.427006,0,1,14.750000,2.249559
cifar10,DL,10.427006,0,1,10.020000,2.339919
cifar10,DL,10.427006,0,1,12.670000,2.303970
cifar10,DL,10.427006,0,1,14.630000,2.392709
cifar10,DL,10.427006,0,1,12.880000,2.291169
cifar10,DL,10.427006,0,1,15.490000,2.328408
cifar10,DL,10.427006,0,1,11.330000,2.250189
cifar10,DL,10.427006,0,1,16.600000,2.279672
cifar10,DL,10.427006,0,1,11.160000,2.301067
cifar10,DL,10.427006,0,1,17.050000,2.255882
cifar10,DL,10.427006,0,1,13.280000,2.324126
cifar10,DL,10.427006,0,1,16.760000,2.246025
cifar10,DL,10.427006,0,1,15.200000,2.273244
cifar10,DL,10.427006,0,1,12.250000,2.338331
cifar10,DL,10.427006,0,1,14.550000,2.259763
cifar10,DL,10.427006,0,1,18.170000,2.298175
cifar10,DL,10.427006,0,1,12.260000,2.302020
cifar10,DL,10.427006,0,1,11.730000,2.306114
cifar10,DL,10.427006,0,1,11.790000,2.289603
cifar10,DL,10.427006,0,1,15.450000,2.267508
cifar10,DL,10.427006,0,1,13.760000,2.334904
cifar10,DL,10.427006,0,1,12.720000,2.261355
cifar10,DL,10.427006,0,1,13.290000,2.302185
cifar10,DL,10.427006,0,1,11.170000,2.304071
cifar10,DL,10.427006,0,1,13.190000,2.264943
cifar10,DL,10.427006,0,1,11.130000,2.282800
cifar10,DL,10.427006,0,1,10.240000,2.395360
cifar10,DL,10.427006,0,1,15.170000,2.324735
cifar10,DL,10.427006,0,1,11.730000,2.331038
cifar10,DL,10.427006,0,1,16.530000,2.266963
cifar10,DL,10.427006,0,1,14.770000,2.235305
cifar10,DL,10.427006,0,1,13.030000,2.297737
cifar10,DL,10.427006,0,1,12.620000,2.242656
cifar10,DL,10.427006,0,1,17.870000,2.333744
cifar10,DL,10.427006,0,1,16.520000,2.306814
cifar10,DL,10.427006,0,1,19.050000,2.320809
cifar10,DL,10.427006,0,1,11.050000,2.288457
cifar10,DL,10.427006,0,1,14.100000,2.290074
cifar10,DL,10.427006,0,1,15.750000,2.264071
cifar10,DL,10.427006,0,1,14.610000,2.347962
cifar10,DL,10.427006,0,1,13.280000,2.242194
cifar10,DL,10.427006,0,1,13.910000,2.320676
cifar10,DL,10.427006,0,1,15.100000,2.237120
cifar10,DL,10.427006,0,1,15.510000,2.305586
cifar10,DL,10.427006,0,1,14.220000,2.259298
cifar10,DL,10.427006,0,1,15.240000,2.232831
cifar10,DL,10.427006,0,1,10.850000,2.343322
cifar10,DL,10.427006,0,1,14.880000,2.261040
cifar10,DL,10.427006,0,1,12.380000,2.353879
cifar10,DL,10.427006,0,1,11.360000,2.310599
cifar10,DL,10.427006,0,1,10.880000,2.323981
cifar10,DL,10.427006,0,1,13.300000,2.365337
cifar10,DL,10.427006,0,1,15.630000,2.283591
cifar10,DL,10.427006,0,1,17.220000,2.244779
cifar10,DL,10.427006,0,1,14.050000,2.290685
cifar10,DL,10.427006,0,1,11.550000,2.329904
cifar10,DL,10.427006,0,1,13.670000,2.271553
cifar10,DL,10.427006,0,1,19.110000,2.227393
cifar10,DL,10.427006,0,1,12.580000,2.342231
cifar10,DL,10.427006,0,1,10.850000,2.303848
cifar10,DL,10.427006,0,1,16.930000,2.287690
cifar10,DL,10.427006,0,1,17.090000,2.372699
cifar10,DL,10.427006,0,1,17.790000,2.226447
cifar10,DL,10.427006,0,1,11.460000,2.318263
cifar10,DL,10.427006,0,1,12.360000,2.333243
cifar10,DL,10.427006,0,1,14.160000,2.276684
cifar10,DL,10.427006,0,1,13.400000,2.314746
cifar10,DL,19.023425,0,2,19.460000,2.211309
cifar10,DL,19.023425,0,2,11.610000,2.392777
cifar10,DL,19.023425,0,2,16.330000,2.243862
cifar10,DL,19.023425,0,2,17.320000,2.202521
cifar10,DL,19.023425,0,2,17.960000,2.189382
cifar10,DL,19.023425,0,2,18.800000,2.229283
cifar10,DL,19.023425,0,2,18.540000,2.172988
cifar10,DL,19.023425,0,2,16.740000,2.231676
cifar10,DL,19.023425,0,2,15.850000,2.252205
cifar10,DL,19.023425,0,2,15.990000,2.198524
cifar10,DL,19.023425,0,2,15.050000,2.225356
cifar10,DL,19.023425,0,2,18.300000,2.198205
cifar10,DL,19.023425,0,2,19.480000,2.196539
cifar10,DL,19.023425,0,2,11.960000,2.260219
cifar10,DL,19.023425,0,2,16.650000,2.239877
cifar10,DL,19.023425,0,2,17.360000,2.157865
cifar10,DL,19.023425,0,2,19.790000,2.178286
cifar10,DL,19.023425,0,2,20.200000,2.147954
cifar10,DL,19.023425,0,2,16.870000,2.233654
cifar10,DL,19.023425,0,2,19.120000,2.198119
cifar10,DL,19.023425,0,2,10.990000,2.297881
cifar10,DL,19.023425,0,2,17.850000,2.275500
cifar10,DL,19.023425,0,2,18.700000,2.147780
cifar10,DL,19.023425,0,2,20.170000,2.224729
cifar10,DL,19.023425,0,2,20.050000,2.238988
cifar10,DL,19.023425,0,2,20.230000,2.174027
cifar10,DL,19.023425,0,2,17.000000,2.158233
cifar10,DL,19.023425,0,2,16.540000,2.239823
cifar10,DL,19.023425,0,2,16.610000,2.188078
cifar10,DL,19.023425,0,2,14.980000,2.259906
cifar10,DL,19.023425,0,2,19.260000,2.151782
cifar10,DL,19.023425,0,2,19.630000,2.176685
cifar10,DL,19.023425,0,2,17.940000,2.187555
cifar10,DL,19.023425,0,2,20.070000,2.222541
cifar10,DL,19.023425,0,2,21.820000,2.167721
cifar10,DL,19.023425,0,2,18.240000,2.262646
cifar10,DL,19.023425,0,2,20.070000,2.157610
cifar10,DL,19.023425,0,2,13.440000,2.226389
cifar10,DL,19.023425,0,2,18.690000,2.157902
cifar10,DL,19.023425,0,2,18.850000,2.166024
cifar10,DL,19.023425,0,2,18.250000,2.159011
cifar10,DL,19.023425,0,2,20.450000,2.212049
cifar10,DL,19.023425,0,2,20.110000,2.208064
cifar10,DL,19.023425,0,2,19.810000,2.165083
cifar10,DL,19.023425,0,2,19.340000,2.229878
cifar10,DL,19.023425,0,2,18.390000,2.227926
cifar10,DL,19.023425,0,2,18.660000,2.182836
cifar10,DL,19.023425,0,2,16.700000,2.181253
cifar10,DL,19.023425,0,2,17.200000,2.172279
cifar10,DL,19.023425,0,2,14.740000,2.224200
cifar10,DL,19.023425,0,2,17.890000,2.231948
cifar10,DL,19.023425,0,2,14.540000,2.265545
cifar10,DL,19.023425,0,2,20.780000,2.145000
cifar10,DL,19.023425,0,2,20.080000,2.122348
cifar10,DL,19.023425,0,2,16.560000,2.236108
cifar10,DL,19.023425,0,2,18.150000,2.187055
cifar10,DL,19.023425,0,2,16.830000,2.249622
cifar10,DL,19.023425,0,2,18.700000,2.251202
cifar10,DL,19.023425,0,2,18.290000,2.211598
cifar10,DL,19.023425,0,2,16.140000,2.215899
cifar10,DL,19.023425,0,2,19.900000,2.159101
cifar10,DL,19.023425,0,2,13.540000,2.206642
cifar10,DL,19.023425,0,2,16.190000,2.206084
cifar10,DL,19.023425,0,2,16.790000,2.239628
cifar10,DL,19.023425,0,2,17.910000,2.191429
cifar10,DL,19.023425,0,2,20.770000,2.185684
cifar10,DL,19.023425,0,2,18.970000,2.177078
cifar10,DL,19.023425,0,2,18.040000,2.283892
cifar10,DL,19.023425,0,2,15.060000,2.256910
cifar10,DL,19.023425,0,2,17.950000,2.227783
cifar10,DL,19.023425,0,2,18.440000,2.188638
cifar10,DL,19.023425,0,2,16.150000,2.231305
cifar10,DL,19.023425,0,2,14.880000,2.214760
cifar10,DL,19.023425,0,2,19.740000,2.179087
cifar10,DL,19.023425,0,2,19.440000,2.237274
cifar10,DL,19.023425,0,2,17.240000,2.217656
cifar10,DL,19.023425,0,2,13.660000,2.238757
cifar10,DL,19.023425,0,2,15.410000,2.216629
cifar10,DL,19.023425,0,2,20.140000,2.176851
cifar10,DL,19.023425,0,2,15.000000,2.269899
cifar10,DL,19.023425,0,2,17.720000,2.212291
cifar10,DL,19.023425,0,2,20.250000,2.163352
cifar10,DL,19.023425,0,2,16.220000,2.236516
cifar10,DL,19.023425,0,2,18.360000,2.214012
cifar10,DL,19.023425,0,2,20.100000,2.180010
